day,date,time,operator,branch,driver,temperature,bill,pizzas,free_wine,got_wine,discount_customer
Thursday,01-May-14,3.895.568.874,Laura,West,Bruno,6.990.594.906,32.3,4,0,0,0
Thursday,01-May-14,3.940.220.284,Melissa,West,Salvatore,5.423.551.512,48.6,3,0,0,0
Thursday,01-May-14,1.930.446.178,Melissa,East,Salvatore,7.799.985.745,19.1,1,0,0,1
Thursday,01-May-14,4.032.656.204,Melissa,West,Salvatore,5.687.606.055,49.9,4,1,1,0
Thursday,01-May-14,2.928.194.438,Laura,Centre,Salvatore,6.199.914.129,48.8,3,0,0,1
Thursday,01-May-14,4.597.845.645,Melissa,West,Mario,6.249.788.882,48,3,1,1,0
Thursday,01-May-14,3.898.661.877,Laura,West,Mario,6.847.487.232,36.6,2,0,0,0
Thursday,01-May-14,3.536.586.604,Melissa,East,Salvatore,6.633.905.414,29.3,3,0,0,1
Thursday,01-May-14,3.214.853.175,Melissa,West,Salvatore,6.173.810.292,35.9,4,0,0,0
Thursday,01-May-14,3.822.429.021,Laura,Centre,Salvatore,6.621.545.615,51.6,4,0,0,0
Thursday,01-May-14,3.610.071.341,Laura,Centre,Bruno,640.372.866,45.2,3,0,0,1
Thursday,01-May-14,4.850.988.612,Melissa,West,Mario,5.899.078.716,43.3,2,1,1,1
Friday,02-May-14,2.230.822.216,Laura,East,Salvatore,7.321.093.606,37.2,3,0,0,1
Friday,02-May-14,2.984.432.511,Melissa,West,Bruno,6.338.925.778,42.3,7,0,0,0
Friday,02-May-14,3.049.356.112,Melissa,West,Luigi,5.461.839.846,48.4,3,0,0,0
Friday,02-May-14,3.785.315.349,Laura,Centre,Luigi,5.981.781.149,41.2,3,0,0,0
Friday,02-May-14,2.433.818.316,Laura,East,Mario,655.641.164,53.1,2,0,0,1
Friday,02-May-14,3.434.324.805,Melissa,East,Luigi,7.099.617.445,37.1,2,0,0,0
Friday,02-May-14,2.960.602.601,Melissa,West,Luigi,6.803.774.122,46.5,3,0,0,0
Friday,02-May-14,350.471.438,Laura,East,Mario,5.710.000.615,48.5,1,0,0,0
Friday,02-May-14,3.283.409.468,Melissa,West,Bruno,540.862.382,35.6,2,0,0,0
Friday,02-May-14,3.362.529.677,Laura,Centre,Salvatore,4.890.812.457,49.1,5,0,0,0
Friday,02-May-14,3.794.889.435,Melissa,West,Luigi,6.146.414.944,41.4,3,0,0,1
Friday,02-May-14,4.236.846.363,Melissa,Centre,Salvatore,6.144.055.787,47.9,4,1,1,1
Friday,02-May-14,3.313.350.347,Laura,West,Mario,6.371.827.571,38.6,3,0,0,1
Friday,02-May-14,3.244.406.002,Melissa,West,Luigi,6.974.680.752,47.8,1,0,0,0
Friday,02-May-14,4.175.583.486,Melissa,Centre,Mario,5.949.071.455,43,2,1,1,1
Friday,02-May-14,3.251.006.684,Laura,East,Salvatore,5.249.850.834,41,3,0,0,1
Friday,02-May-14,2.614.415.864,Melissa,West,Salvatore,4.742.635.265,47,4,0,0,1
Friday,02-May-14,4.286.877.612,Melissa,Centre,Luigi,6.111.865.692,35.6,4,1,1,0
Friday,02-May-14,3.340.350.813,Laura,Centre,Luigi,5.895.042.903,42.8,1,0,0,0
Friday,02-May-14,467.001.996,Melissa,Centre,Salvatore,5.340.105.089,60.6,3,1,0,0
Friday,02-May-14,3.708.733.826,Melissa,West,Luigi,6.334.438.523,42.8,4,0,0,1
Friday,02-May-14,3.423.143.081,Laura,East,Salvatore,5.602.562.853,52.8,4,0,0,0
Friday,02-May-14,1.668.867.305,Laura,East,Mario,872.532.692,10.8,1,0,0,0
Friday,02-May-14,3.846.664.616,Melissa,East,Luigi,6.439.103.013,43.2,1,0,0,1
Friday,02-May-14,3.198.324.613,Melissa,West,Bruno,6.248.878.012,52.4,3,0,0,1
Friday,02-May-14,3.887.199.535,Laura,East,Mario,6.262.034.229,50.5,3,0,0,0
Friday,02-May-14,2.877.064.393,Melissa,East,Bruno,7.314.820.997,35.5,1,0,0,0
Friday,02-May-14,2.896.917.614,Laura,West,Bruno,6.406.286.935,39.9,3,0,0,0
Friday,02-May-14,4.355.574.846,Melissa,East,Luigi,739.755.373,47.6,1,1,0,1
Friday,02-May-14,4.194.352.175,Melissa,West,Salvatore,5.996.784.855,36.4,3,1,1,0
Friday,02-May-14,4.129.890.985,Laura,Centre,Salvatore,544.367.242,37.4,3,1,1,0
Friday,02-May-14,3.795.349.866,Melissa,Centre,Luigi,6.150.658.042,49,3,0,0,1
Friday,02-May-14,2.955.006.204,Laura,East,Mario,6.946.227.526,33,3,0,0,0
Friday,02-May-14,3.926.507.913,Laura,West,Salvatore,6.545.429.409,31.9,4,0,0,0
Friday,02-May-14,3.484.058.188,Melissa,Centre,Bruno,5.946.173.415,44.2,3,0,0,1
Friday,02-May-14,4.155.905.227,Laura,Centre,Bruno,5.576.329.463,57.9,3,1,1,0
Friday,02-May-14,4.697.457.555,Laura,West,Bruno,582.481.946,42.1,3,1,1,0
Friday,02-May-14,3.023.817.164,Melissa,East,Luigi,6.268.057.475,32.2,2,0,0,0
Friday,02-May-14,3.540.792.328,Laura,West,Mario,5.466.753.007,40.3,4,0,0,1
Friday,02-May-14,4.190.333.312,Laura,Centre,Luigi,6.727.132.466,38.9,3,1,1,0
Friday,02-May-14,2.408.722.491,Melissa,West,Luigi,7.141.701.894,46.3,1,0,0,1
Friday,02-May-14,2.561.931.485,Melissa,East,Luigi,6.659.543.413,63.9,3,0,0,0
Friday,02-May-14,3.490.374.235,Melissa,Centre,Bruno,6.372.434.286,57.4,3,0,0,1
Friday,02-May-14,3.383.440.453,Laura,West,Mario,6.886.363.449,34.1,3,0,0,1
Friday,02-May-14,3.304.304.894,Melissa,West,Salvatore,6.075.604.969,34.6,5,0,0,0
Friday,02-May-14,2.609.399.852,Melissa,West,Luigi,5.063.593.709,43.2,5,0,0,0
Friday,02-May-14,3.794.865.815,Melissa,West,Bruno,6.322.911.411,55.6,3,0,0,0
Friday,02-May-14,3.106.694.366,Melissa,Centre,Mario,7.100.678.755,34.5,4,0,0,0
Friday,02-May-14,3.412.602.336,Laura,West,Mario,6.600.691.523,31.8,2,0,0,0
Friday,02-May-14,280.023.063,Melissa,West,Luigi,6.524.387.437,36.4,1,0,0,1
Friday,02-May-14,3.035.180.683,Laura,East,Salvatore,6.825.253.737,31.7,1,0,0,0
Saturday,03-May-14,3.428.993.704,Laura,West,Mario,6.098.162.005,49.5,4,0,0,0
Saturday,03-May-14,4.170.236.448,Laura,West,Bruno,6.272.349.706,54.4,1,1,0,0
Saturday,03-May-14,3.772.953.885,Laura,West,Bruno,6.445.005.716,46.6,4,0,0,0
Saturday,03-May-14,3.489.903.814,Laura,Centre,Salvatore,5.820.153.733,43,4,0,0,0
Saturday,03-May-14,4.503.009.046,Melissa,West,Mario,7.008.781.707,23.7,1,1,1,1
Saturday,03-May-14,3.114.357.208,Melissa,Centre,Bruno,6.424.892.634,37.5,2,0,0,0
Saturday,03-May-14,3.251.957.547,Laura,West,Bruno,4.702.875.322,38.7,4,0,0,0
Saturday,03-May-14,3.438.203.301,Laura,West,Luigi,5.561.443.199,35.6,3,0,0,0
Saturday,03-May-14,3.360.271.429,Melissa,East,Domenico,7.276.962.701,28.2,4,0,0,0
Saturday,03-May-14,3.079.883.056,Melissa,West,Mario,6.337.900.441,38.1,3,0,0,0
Saturday,03-May-14,3.623.512.515,Melissa,Centre,Mario,5.427.333.907,67.6,5,0,0,1
Saturday,03-May-14,2.844.571.401,Melissa,West,Luigi,6.027.341.692,25.2,2,0,0,0
Saturday,03-May-14,3.311.243.595,Melissa,West,Salvatore,6.171.282.629,46.2,5,0,0,0
Saturday,03-May-14,3.291.755.977,Laura,Centre,Salvatore,5.757.074.465,40.4,2,0,0,0
Saturday,03-May-14,4.639.115.749,Laura,Centre,Salvatore,5.470.820.425,54.8,7,1,1,0
Saturday,03-May-14,3.559.925.592,Melissa,East,Luigi,735.453.784,28.6,2,0,0,0
Saturday,03-May-14,2.977.455.946,Melissa,West,Mario,4.952.433.456,28.3,2,0,0,0
Saturday,03-May-14,3.928.368.893,Melissa,Centre,Mario,6.441.143.787,26,2,0,0,0
Saturday,03-May-14,4.360.047.662,Laura,Centre,Mario,580.444.709,44,6,1,1,0
Saturday,03-May-14,3.162.040.857,Melissa,Centre,Salvatore,6.437.735.094,45.6,4,0,0,0
Saturday,03-May-14,3.815.975.621,Laura,Centre,Mario,6.106.695.791,52.3,3,0,0,1
Saturday,03-May-14,2.950.025.534,Laura,West,Luigi,6.358.434.736,45.5,2,0,0,0
Saturday,03-May-14,4.034.962.154,Laura,East,Luigi,6.707.077.022,47.4,2,1,1,0
Saturday,03-May-14,2.769.885.303,Laura,Centre,Luigi,5.276.287.856,31.4,5,0,0,0
Saturday,03-May-14,3.566.707.219,Laura,East,Salvatore,6.380.710.574,42.4,2,0,0,0
Saturday,03-May-14,4.226.400.624,Laura,East,Domenico,7.651.731.012,23.5,2,1,1,0
Saturday,03-May-14,2.023.800.118,Melissa,East,Domenico,7.180.494.949,44.6,2,0,0,0
Saturday,03-May-14,4.050.586.444,Laura,East,Bruno,6.228.414.557,41.3,3,1,1,0
Saturday,03-May-14,3.355.627.988,Laura,West,Mario,6.109.346.191,47.2,4,0,0,0
Saturday,03-May-14,3.378.556.111,Laura,West,Bruno,5.919.106.561,36,5,0,0,0
Saturday,03-May-14,3.424.004.521,Laura,East,Mario,6.298.725.704,36.8,3,0,0,0
Saturday,03-May-14,2.647.333.203,Melissa,Centre,Domenico,6.854.695.995,29.8,1,0,0,0
Saturday,03-May-14,4.375.923.912,Melissa,West,Salvatore,5.129.519.977,41.8,2,1,0,0
Saturday,03-May-14,3.591.095.158,Melissa,East,Bruno,6.682.868.179,38,3,0,0,1
Saturday,03-May-14,2.483.953.658,Melissa,East,Luigi,6.677.670.069,19.6,1,0,0,0
Saturday,03-May-14,4.645.084.239,Melissa,West,Mario,5.962.312.506,42.2,3,1,1,0
Saturday,03-May-14,3.137.609.305,Melissa,East,Mario,559.446.167,33.7,2,0,0,0
Saturday,03-May-14,3.772.796.994,Melissa,Centre,Bruno,6.094.293.378,35.6,3,0,0,0
Saturday,03-May-14,2.538.388.004,Melissa,East,Domenico,7.101.775.537,31.3,3,0,0,0
Saturday,03-May-14,3.295.608.639,Laura,East,Mario,6.201.930.997,38.6,6,0,0,0
Saturday,03-May-14,3.460.239.851,Laura,West,Bruno,601.710.803,50.7,5,0,0,0
Saturday,03-May-14,3.436.258.778,Laura,West,Salvatore,5.486.255.796,30.6,4,0,0,0
Saturday,03-May-14,2.870.386.669,Melissa,East,Domenico,7.437.361.988,22.4,2,0,0,0
Saturday,03-May-14,4.062.227.361,Melissa,West,Salvatore,5.984.325.225,45.5,5,1,1,0
Saturday,03-May-14,3.226.548.946,Melissa,West,Bruno,5.771.866.222,42.1,3,0,0,0
Saturday,03-May-14,3.066.123.421,Melissa,East,Domenico,6.996.366.155,35.2,2,0,0,0
Saturday,03-May-14,3.459.581.904,Melissa,Centre,Salvatore,544.034.439,59.6,3,0,0,0
Saturday,03-May-14,2.843.629.652,Laura,West,Mario,5.869.793.825,36.2,2,0,0,1
Saturday,03-May-14,3.337.903.638,Laura,Centre,Salvatore,5.775.110.511,44.9,4,0,0,1
Saturday,03-May-14,2.778.798.052,Melissa,West,Bruno,6.910.677.284,30.1,1,0,0,1
Saturday,03-May-14,3.483.556.018,Laura,Centre,Mario,5.690.560.878,48.6,3,0,0,0
Saturday,03-May-14,3.864.262.909,Melissa,Centre,Salvatore,5.424.165.505,53.7,6,0,0,0
Saturday,03-May-14,3.284.233.872,Melissa,East,Luigi,7.080.298.026,50.4,6,0,0,0
Sunday,04-May-14,298.926.699,Laura,Centre,Mario,5.575.616.388,55.7,4,0,0,0
Sunday,04-May-14,4.079.161.825,Melissa,Centre,Salvatore,6.698.703.913,47.7,4,1,1,0
Sunday,04-May-14,244.742.752,Melissa,East,Domenico,7.304.577.444,41.9,1,0,0,0
Sunday,04-May-14,313.916.305,Melissa,West,Mario,647.783.736,35.3,5,0,0,0
Sunday,04-May-14,2.436.145.659,Laura,East,Domenico,7.290.642.866,24.6,5,0,0,0
Sunday,04-May-14,2.522.923.488,Laura,Centre,Salvatore,7.232.482.479,47.8,2,0,0,0
Sunday,04-May-14,4.067.891.988,Melissa,East,Domenico,6.086.238.879,34.3,3,1,0,0
Sunday,04-May-14,3.104.258.543,Laura,Centre,Luigi,5.970.354.497,41.6,3,0,0,0
Sunday,04-May-14,4.070.924.408,Laura,West,Mario,5.850.343.172,44.9,4,1,1,0
Sunday,04-May-14,3.731.537.873,Laura,Centre,Bruno,6.005.719.256,39.7,2,0,0,0
Sunday,04-May-14,3.447.979.077,Laura,Centre,Mario,6.161.400.559,53.6,4,0,0,1
Sunday,04-May-14,469.048.219,Laura,Centre,Luigi,5.807.136.247,46,3,1,1,0
Sunday,04-May-14,3.334.590.852,Laura,Centre,Luigi,6.082.084.256,52.2,4,0,0,0
Sunday,04-May-14,3.131.815.839,Laura,West,Mario,5.236.365.777,39.9,2,0,0,0
Sunday,04-May-14,3.753.912.363,Melissa,Centre,Bruno,5.821.199.636,55.5,4,0,0,0
Sunday,04-May-14,4.102.112.589,Laura,West,Salvatore,5.522.489.331,46.1,2,1,1,0
Sunday,04-May-14,3.601.208.104,Melissa,East,Domenico,6.180.127.339,51.1,5,0,0,0
Sunday,04-May-14,3.565.426.953,Melissa,East,Luigi,6.546.181.491,33.3,2,0,0,0
Sunday,04-May-14,3.784.685.365,Laura,West,Mario,5.809.370.171,47.9,2,0,0,0
Sunday,04-May-14,3.188.495.154,Laura,Centre,Salvatore,654.854.274,55.3,7,0,0,0
Sunday,04-May-14,4.349.256.427,Melissa,East,Mario,7.125.702.908,50.7,5,1,1,0
Sunday,04-May-14,366.901.939,Laura,Centre,Salvatore,6.288.500.583,54.2,2,0,0,0
Sunday,04-May-14,333.317.273,Laura,East,Bruno,6.451.296.186,37.7,4,0,0,0
Sunday,04-May-14,3.782.806.761,Laura,West,Domenico,661.332.291,35.9,2,0,0,0
Sunday,04-May-14,329.315.272,Laura,East,Bruno,5.890.573.427,43,2,0,0,1
Sunday,04-May-14,4.035.839.328,Laura,Centre,Salvatore,5.879.433.358,44.3,7,1,0,1
Sunday,04-May-14,3.789.000.045,Laura,West,Salvatore,5.575.062.956,45.7,5,0,0,0
Sunday,04-May-14,3.290.051.142,Laura,Centre,Salvatore,6.406.238.644,50.7,4,0,0,0
Sunday,04-May-14,3.229.737.202,Laura,Centre,Bruno,6.165.037.042,43.5,3,0,0,0
Sunday,04-May-14,3.174.269.998,Melissa,Centre,Luigi,5.751.594.215,40.4,3,0,0,0
Sunday,04-May-14,3.832.656.885,Melissa,West,Bruno,6.317.743.597,63.7,2,0,0,0
Sunday,04-May-14,2.828.080.407,Laura,West,Domenico,6.559.011.614,22.3,1,0,0,0
Sunday,04-May-14,3.256.317.296,Melissa,West,Domenico,6.240.341.384,31,6,0,0,0
Sunday,04-May-14,3.839.012.958,Laura,West,Mario,4.859.149.623,39,4,0,0,0
Sunday,04-May-14,3.482.782.211,Laura,Centre,Bruno,524.434.532,55.7,5,0,0,1
Sunday,04-May-14,3.856.416.747,Melissa,Centre,Salvatore,6.205.469.328,46.7,4,0,0,0
Sunday,04-May-14,2.968.454.642,Melissa,West,Luigi,7.477.976.102,49.8,2,0,0,0
Sunday,04-May-14,3.751.390.089,Melissa,Centre,Mario,6.134.580.774,30.4,4,0,0,1
Sunday,04-May-14,3.486.537.382,Laura,Centre,Luigi,7.348.815.267,36.8,3,0,0,1
Sunday,04-May-14,3.172.630.683,Laura,Centre,Salvatore,6.273.364.143,58,4,0,0,0
Sunday,04-May-14,2.966.880.886,Laura,West,Domenico,7.015.009.249,29.4,1,0,0,0
Sunday,04-May-14,153.937.206,Laura,East,Domenico,8.336.472.941,24.6,1,0,0,1
Sunday,04-May-14,3.827.902.331,Laura,Centre,Bruno,5.893.788.348,49.4,4,0,0,0
Sunday,04-May-14,346.751.474,Laura,Centre,Luigi,6.100.091.966,47.4,3,0,0,0
Sunday,04-May-14,3.809.853.061,Melissa,Centre,Salvatore,5.922.616.695,55.6,5,0,0,0
Sunday,04-May-14,2.766.042.461,Melissa,East,Domenico,737.725.405,30.8,1,0,0,0
Monday,05-May-14,3.485.384.287,Laura,Centre,Bruno,5.554.995.349,52.7,4,0,0,1
Monday,05-May-14,2.191.763.073,Laura,East,Salvatore,7.017.376.616,37.2,1,0,0,0
Monday,05-May-14,2.886.276.363,Laura,West,Salvatore,5.819.766.614,46.4,3,0,0,0
Monday,05-May-14,3.777.139.713,Laura,Centre,Bruno,6.138.392.561,67.5,6,0,0,0
Monday,05-May-14,4.801.719.063,Laura,East,Salvatore,5.701.596.979,33.8,5,1,1,1
Monday,05-May-14,3.214.042.519,Laura,East,Salvatore,6.649.962.766,51.9,4,0,0,1
Monday,05-May-14,3.680.366.947,Laura,East,Bruno,6.564.251.358,46.3,3,0,0,0
Monday,05-May-14,3.708.555.155,Laura,West,Salvatore,6.169.423.317,48.4,3,0,0,0
Monday,05-May-14,3.649.582.594,Laura,Centre,Bruno,5.938.447.131,60,4,0,0,0
Monday,05-May-14,3.424.281.244,Laura,Centre,Salvatore,552.889.167,43.6,6,0,0,1
Monday,05-May-14,2.960.137.196,Laura,East,Bruno,7.349.038.729,33.1,1,0,0,1
Monday,05-May-14,3.814.589.769,Laura,West,Bruno,5.821.860.095,45.6,2,0,0,0
Monday,05-May-14,3.495.372.594,Laura,Centre,Bruno,5.716.479.995,45.4,6,0,0,0
Monday,05-May-14,3.405.407.232,Laura,West,Salvatore,7.017.717.638,28.8,1,0,0,0
Monday,05-May-14,4.182.139.157,Laura,Centre,Bruno,5.392.882.262,57.4,3,1,1,1
Monday,05-May-14,1.612.672.717,Laura,East,Bruno,797.815.814,28.9,1,0,0,0
Monday,05-May-14,3.027.450.129,Laura,West,Bruno,6.483.000.571,54.8,2,0,0,0
Monday,05-May-14,2.055.187.308,Laura,East,Salvatore,6.859.202.494,36.2,4,0,0,0
Monday,05-May-14,3.228.893.471,Laura,Centre,Salvatore,5.996.344.794,41.6,2,0,0,0
Monday,05-May-14,3.059.152.084,Laura,West,Bruno,5.137.494.315,34.8,1,0,0,0
Monday,05-May-14,282.971.658,Laura,West,Salvatore,6.729.481.845,38.8,5,0,0,1
Monday,05-May-14,3.106.790.702,Laura,East,Salvatore,722.033.448,36.2,3,0,0,0
Monday,05-May-14,3.478.826.745,Laura,West,Bruno,5.910.217.007,60.4,5,0,0,0
Monday,05-May-14,413.488.933,Laura,Centre,Bruno,539.309.117,37,4,1,1,1
Monday,05-May-14,4.579.335.249,Laura,West,Bruno,5.553.097.203,58.2,3,1,1,0
Monday,05-May-14,3.663.143.791,Laura,Centre,Bruno,4.572.372.459,54.4,7,0,0,1
Monday,05-May-14,3.333.673.513,Laura,Centre,Salvatore,5.840.544.278,49.2,3,0,0,0
Monday,05-May-14,3.431.284.331,Laura,Centre,Bruno,6.353.560.818,59.4,4,0,0,0
Monday,05-May-14,2.908.208.891,Laura,East,Salvatore,6.843.946.177,41.9,3,0,0,0
Monday,05-May-14,2.969.825.191,Laura,West,Bruno,6.597.422.864,33,3,0,0,0
Monday,05-May-14,3.946.636.935,Laura,East,Bruno,6.312.173.725,38,3,0,0,1
Tuesday,06-May-14,3.270.743.489,Melissa,Centre,Mario,6.086.023.905,46.2,3,0,0,0
Tuesday,06-May-14,2.980.138.959,Melissa,West,Mario,6.314.599.671,51.4,2,0,0,0
Tuesday,06-May-14,4.395.113.304,Melissa,West,Bruno,6.645.880.982,56.6,6,1,0,0
Tuesday,06-May-14,3.458.652.777,Melissa,West,Bruno,5.708.993.455,64.4,4,0,0,0
Tuesday,06-May-14,2.809.064.213,Melissa,East,Bruno,7.166.244.346,26.1,2,0,0,1
Tuesday,06-May-14,3.084.960.675,Melissa,Centre,Mario,613.225.195,24.6,2,0,0,0
Tuesday,06-May-14,2.792.122.601,Melissa,East,Bruno,6.644.371.834,45.3,1,0,0,1
Tuesday,06-May-14,2.441.591.442,Melissa,West,Mario,601.375.999,34.6,4,0,0,0
Tuesday,06-May-14,3.908.805.737,Melissa,Centre,Bruno,5.850.660.737,53.7,4,0,0,0
Tuesday,06-May-14,3.617.425.447,Melissa,Centre,Mario,651.003.563,51.1,3,0,0,0
Tuesday,06-May-14,2.570.414.959,Melissa,East,Bruno,6.383.757.521,13.7,1,0,0,0
Tuesday,06-May-14,356.513.833,Melissa,East,Mario,7.099.038.387,19.3,1,0,0,1
Tuesday,06-May-14,4.066.533.336,Melissa,West,Bruno,593.747.927,53.9,4,1,1,0
Tuesday,06-May-14,320.113.968,Melissa,East,Mario,6.578.877.894,46.2,1,0,0,0
Tuesday,06-May-14,2.732.446.026,Melissa,East,Bruno,7.701.931.021,23.3,2,0,0,0
Tuesday,06-May-14,3.844.490.861,Melissa,West,Bruno,668.629.677,32.4,2,0,0,0
Tuesday,06-May-14,3.517.488.908,Melissa,East,Mario,6.335.080.065,59.2,3,0,0,0
Tuesday,06-May-14,405.328.797,Melissa,West,Bruno,5.551.498.716,53.4,5,1,0,0
Tuesday,06-May-14,4.109.681.783,Melissa,Centre,Mario,5.702.423.356,51,5,1,1,0
Tuesday,06-May-14,4.343.568.403,Melissa,Centre,Mario,6.605.395.711,52.9,4,1,0,0
Tuesday,06-May-14,4.746.307.088,Melissa,West,Bruno,6.248.549.566,59.1,4,1,1,0
Tuesday,06-May-14,3.678.543.102,Melissa,West,Mario,6.165.032.107,39.5,2,0,0,0
Tuesday,06-May-14,4.398.734.093,Melissa,Centre,Mario,5.884.680.192,42.4,3,1,0,0
Tuesday,06-May-14,2.851.035.084,Melissa,East,Mario,6.248.480.161,36.2,1,0,0,0
Tuesday,06-May-14,3.344.734.629,Melissa,East,Mario,5.840.875.135,36.2,4,0,0,0
Tuesday,06-May-14,4.120.781.368,Melissa,Centre,Bruno,5.559.571.953,49.6,4,1,1,0
Tuesday,06-May-14,4.331.437.418,Melissa,Centre,Bruno,5.022.884.332,48.6,4,1,0,0
Tuesday,06-May-14,1.327.991.797,Melissa,East,Bruno,8.378.830.062,10.6,1,0,0,0
Tuesday,06-May-14,3.204.848.343,Melissa,East,Mario,638.873.644,31.9,3,0,0,0
Tuesday,06-May-14,3.582.663.069,Melissa,West,Bruno,6.837.598.366,30.2,2,0,0,1
Tuesday,06-May-14,3.560.198.723,Melissa,Centre,Mario,6.956.498.312,44.6,2,0,0,0
Tuesday,06-May-14,3.868.475.626,Melissa,East,Mario,6.662.979.613,48.9,1,0,0,0
Tuesday,06-May-14,316.514.269,Melissa,West,Mario,5.660.536.373,48.7,5,0,0,0
Wednesday,07-May-14,284.763.683,Melissa,East,Salvatore,6.579.146.109,54.9,2,0,0,0
Wednesday,07-May-14,4.261.557.766,Laura,Centre,Salvatore,5.267.528.902,57.6,4,1,1,0
Wednesday,07-May-14,2.517.980.326,Melissa,West,Salvatore,6.501.641.819,55.1,2,0,0,0
Wednesday,07-May-14,4.287.403.453,Melissa,West,Mario,5.600.392.374,58.2,5,1,1,0
Wednesday,07-May-14,2.889.220.172,Melissa,East,Salvatore,671.756.914,28.6,2,0,0,0
Wednesday,07-May-14,4.234.630.923,Melissa,East,Mario,6.250.876.965,49.7,3,1,1,0
Wednesday,07-May-14,4.013.237.013,Melissa,Centre,Mario,5.767.049.439,44.3,4,1,1,1
Wednesday,07-May-14,3.413.543.143,Laura,East,Salvatore,7.024.776.312,50.4,3,0,0,0
Wednesday,07-May-14,3.991.527.702,Melissa,Centre,Salvatore,5.352.384.334,54.5,4,0,0,0
Wednesday,07-May-14,4.323.357.695,Laura,Centre,Mario,6.154.815.021,42.3,4,1,1,1
Wednesday,07-May-14,2.586.548.249,Melissa,Centre,Salvatore,6.368.772.745,42.7,4,0,0,0
